consumer,service_period,due_date,previous_bill,previous_payment,present_bill,penalty
Audrey.Balangel@gmail.com,2022-Jan,2022-02-21,114,206,92,39
Aubrey.Balatero@gmail.com,2022-Jan,2022-02-21,191,214,23,45
Adam.Balbaira@gmail.com,2022-Jan,2022-02-21,121,254,133,44
Bea.Balbas@gmail.com,2022-Jan,2022-02-21,141,230,89,11
Catriona.Balbin@gmail.com,2022-Jan,2022-02-21,187,287,100,26
Charice.Balbutin@gmail.com,2022-Jan,2022-02-21,139,214,75,58
Corazon.Balcita@gmail.com,2022-Jan,2022-02-21,178,243,65,12
Gladys.Abad@gmail.com,2022-Jan,2022-02-21,164,238,74,59
Hilda.Acuna@gmail.com,2022-Jan,2022-02-21,167,207,40,55
Julia.Adorna@gmail.com,2022-Jan,2022-02-21,175,232,57,13
Kathryn.Adriano@gmail.com,2022-Jan,2022-02-21,137,269,132,35
Kristine.Advíncula@gmail.com,2022-Jan,2022-02-21,194,296,102,40
Lea.Afable@gmail.com,2022-Jan,2022-02-21,141,232,91,71
Liza.Agres@gmail.com,2022-Jan,2022-02-21,169,299,130,37
Maine.Aguado@gmail.com,2022-Jan,2022-02-21,113,233,120,73
Audrey.Balangel@gmail.com,2022-Feb,2022-03-21,200,219,19,
Aubrey.Balatero@gmail.com,2022-Feb,2022-03-21,155,208,53,
Adam.Balbaira@gmail.com,2022-Feb,2022-03-21,197,262,65,
Bea.Balbas@gmail.com,2022-Feb,2022-03-21,160,273,113,
Catriona.Balbin@gmail.com,2022-Feb,2022-03-21,161,201,40,
Charice.Balbutin@gmail.com,2022-Feb,2022-03-21,175,282,107,
Corazon.Balcita@gmail.com,2022-Feb,2022-03-21,196,214,18,
Gladys.Abad@gmail.com,2022-Feb,2022-03-21,119,272,153,
Hilda.Acuna@gmail.com,2022-Feb,2022-03-21,103,259,156,
Julia.Adorna@gmail.com,2022-Feb,2022-03-21,161,230,69,
Kathryn.Adriano@gmail.com,2022-Feb,2022-03-21,104,277,173,
Kristine.Advíncula@gmail.com,2022-Feb,2022-03-21,150,222,72,
Lea.Afable@gmail.com,2022-Feb,2022-03-21,132,238,106,
Liza.Agres@gmail.com,2022-Feb,2022-03-21,127,253,126,
Maine.Aguado@gmail.com,2022-Feb,2022-03-21,150,204,54,
