email,user_type,password,first_name,middle_name,last_name,gender,birthday,phone,civil_status,name_of_spouse,purok,barangay,household_no,first_reading,usage_type,serial_no,brand,status,delinquent,registered_at
Andrei.Chatto@gmail.com,Reader,AndreiChatto123,Andrei,Ugpo,Chatto,Male,2001-01-14,9486207359,Widowed,,1,Boctol,30,0,Residential,1,Sunrise,Connected,FALSE,2019-02-28
Eric.Maglajos@gmail.com,Consumer,EricMaglajos123,Eric,Lacea,Maglajos,Male,1979-08-09,9456712321,Married,Toni Puller,1,Boctol,13,0,Residential,2,Watermark,Connected,FALSE,2019-09-04
Sean Maruel.Comingues@gmail.com,Admin,Sean MaruelComingues123,Sean Maruel,Anub,Comingues,Male,1977-02-15,9125679089,Married,Kristine Carog,1,Boctol,15,0,Residential,3,Watermark,Connected,FALSE,2019-09-05
Jeramelle .Tatad@gmail.com,Consumer,Jeramelle Tatad123,Jeramelle ,Anunciado,Tatad,Male,1977-02-16,9645231321,Single,,1,Boctol,27,0,Residential,4,Sunrise,Connected,FALSE,2019-09-06
Paul.Baquero@gmail.com,Consumer,PaulBaquero123,Paul,Orig,Baquero,Male,1977-02-17,9384762497,Single,,1,Boctol,27,0,Residential,5,Sunrise,Connected,TRUE,2019-09-07
Justin.Corpuz@gmail.com,Consumer,JustinCorpuz123,Justin,Bieber,Corpuz,Male,2001-01-14,9518969056,Married,Marjanne Aninao,2,Boctol,12,0,Residential,6,Watermark,Connected,TRUE,2019-09-08
Mary.Chatto@gmail.com,Consumer,MaryChatto123,Mary,Wakanda,Chatto,Female,2001-01-15,9877872231,Married,FJ,2,Boctol,29,0,Residential,7,Sunrise,Disconnected,FALSE,2019-09-09
Myla.Torreon@gmail.com,Cashier,MylaTorreon123,Myla,Lansang,Torreon,Female,2001-01-16,9556232121,Single,,2,Boctol,30,0,Residential,8,Watermark,Connected,FALSE,2019-09-10
Janie.Acain@gmail.com,Reader,JanieAcain123,Janie,Yap,Acain,Male,2001-01-17,9874423211,Single,,2,Boctol,22,0,Commercial,9,Watermark,Connected,TRUE,2019-09-11
Amelia.Bacani @gmail.com,Consumer,AmeliaBacani 123,Amelia,Abacan,Bacani ,Female,2001-01-18,9486207359,Single,,2,Boctol,12,0,Residential,10,Sunrise,Connected,FALSE,2018-08-18
