cashier,consumer,date_paid,amount_paid,service_period
Myla.Torreon@gmail.com,Audrey.Balangel@gmail.com,2022-02-15,239,2022-Jan
Myla.Torreon@gmail.com,Aubrey.Balatero@gmail.com,2022-02-16,245,2022-Jan
Myla.Torreon@gmail.com,Adam.Balbaira@gmail.com,2022-02-17,240,2022-Jan
Myla.Torreon@gmail.com,Bea.Balbas@gmail.com,2022-02-18,210,2022-Jan
Myla.Torreon@gmail.com,Catriona.Balbin@gmail.com,2022-02-19,266,2022-Jan
Myla.Torreon@gmail.com,Charice.Balbutin@gmail.com,2022-02-20,200,2022-Jan
Myla.Torreon@gmail.com,Corazon.Balcita@gmail.com,2022-02-21,212,2022-Jan
Myla.Torreon@gmail.com,Gladys.Abad@gmail.com,2022-02-22,259,2022-Jan
Myla.Torreon@gmail.com,Hilda.Acuna@gmail.com,2022-02-15,200,2022-Jan
Myla.Torreon@gmail.com,Julia.Adorna@gmail.com,2022-02-15,213,2022-Jan
Myla.Torreon@gmail.com,Kathryn.Adriano@gmail.com,2022-02-15,235,2022-Jan
Myla.Torreon@gmail.com,Kristine.Advíncula@gmail.com,2022-02-15,240,2022-Jan
Myla.Torreon@gmail.com,Lea.Afable@gmail.com,2022-02-16,271,2022-Jan
Myla.Torreon@gmail.com,Liza.Agres@gmail.com,2022-02-17,237,2022-Jan
Myla.Torreon@gmail.com,Maine.Aguado@gmail.com,2022-02-18,270,2022-Jan
