cashier,consumer,date_paid,amount_paid
Myla.Torreon@gmail.com,Audrey.Balangel@gmail.com,2022-02-15,417
Myla.Torreon@gmail.com,Aubrey.Balatero@gmail.com,2022-02-16,477
Myla.Torreon@gmail.com,Adam.Balbaira@gmail.com,2022-02-17,403
Myla.Torreon@gmail.com,Bea.Balbas@gmail.com,2022-02-18,364
Myla.Torreon@gmail.com,Catriona.Balbin@gmail.com,2022-02-19,394
Myla.Torreon@gmail.com,Charice.Balbutin@gmail.com,2022-02-20,392
Myla.Torreon@gmail.com,Corazon.Balcita@gmail.com,2022-02-21,397
Myla.Torreon@gmail.com,Gladys.Abad@gmail.com,2022-02-22,306
Myla.Torreon@gmail.com,Hilda.Acuna@gmail.com,2022-02-15,456
Myla.Torreon@gmail.com,Julia.Adorna@gmail.com,2022-02-15,417
Myla.Torreon@gmail.com,Kathryn.Adriano@gmail.com,2022-02-15,414
Myla.Torreon@gmail.com,Kristine.Advíncula@gmail.com,2022-02-15,344
Myla.Torreon@gmail.com,Lea.Afable@gmail.com,2022-02-16,375
Myla.Torreon@gmail.com,Liza.Agres@gmail.com,2022-02-17,407
Myla.Torreon@gmail.com,Maine.Aguado@gmail.com,2022-02-18,492
