reader,consumer,previous_reading,present_reading,reading_date,service_period
Andrei.Chatto@gmail.com,Audrey.Balangel@gmail.com,9,16,2022-01-18,2022-Jan
Janie.Acain@gmail.com,Aubrey.Balatero@gmail.com,10,30,2022-01-14,2022-Jan
Ava.Bacod@gmail.com,Adam.Balbaira@gmail.com,10,13,2022-01-18,2022-Jan
Andrei.Chatto@gmail.com,Bea.Balbas@gmail.com,7,27,2022-01-18,2022-Jan
Andrei.Chatto@gmail.com,Catriona.Balbin@gmail.com,10,28,2022-01-18,2022-Jan
Janie.Acain@gmail.com,Charice.Balbutin@gmail.com,7,22,2022-01-18,2022-Jan
Ava.Bacod@gmail.com,Corazon.Balcita@gmail.com,10,25,2022-01-18,2022-Jan
Ava.Bacod@gmail.com,Gladys.Abad@gmail.com,5,14,2022-01-18,2022-Jan
Ava.Bacod@gmail.com,Hilda.Acuna@gmail.com,6,25,2022-01-18,2022-Jan
Janie.Acain@gmail.com,Julia.Adorna@gmail.com,8,27,2022-01-18,2022-Jan
Janie.Acain@gmail.com,Kathryn.Adriano@gmail.com,5,22,2022-01-19,2022-Jan
Andrei.Chatto@gmail.com,Kristine.Advíncula@gmail.com,8,25,2022-01-20,2022-Jan
Andrei.Chatto@gmail.com,Lea.Afable@gmail.com,7,26,2022-01-21,2022-Jan
Janie.Acain@gmail.com,Liza.Agres@gmail.com,8,15,2022-01-22,2022-Jan
Ava.Bacod@gmail.com,Maine.Aguado@gmail.com,6,26,2022-01-23,2022-Jan
